1617.527,7537.008,35.6713
1617.434,7537.113,34.742
1617.42,7536.913,39.8988
1617.313,7536.822,31.8983
1617.327,7537.023,34.6455
1617.341,7537.222,NaN
1617.234,7537.127,37.441
1617.22,7536.929,27.5709
1617.206,7536.727,30.3199
1617.113,7536.836,29.5736
1617.127,7537.037,31.1605
1617.135,7537.135,32.7317
1617.042,7537.241,33.5051
1617.035,7537.143,29.0359
1617.021,7536.942,37.3484
1617.007,7536.743,46.1854
1616.907,7536.75,50.0959
1616.921,7536.949,29.6058
1616.928,7537.05,21.6558
1616.942,7537.249,23.8461
1616.807,7536.757,37.4694
1616.821,7536.957,24.6478
1616.835,7537.156,19.1011
1616.849,7537.356,32.303
1616.742,7537.264,26.2671
1616.728,7537.064,25.7771
1616.714,7536.864,15.714
1616.7,7536.664,17.8327
1616.608,7536.772,25.7882
1616.622,7536.97,33.8718
1616.636,7537.171,24.019
1616.643,7537.27,23.4638
1616.543,7537.277,14.3487
1616.529,7537.078,36.2265
1616.515,7536.878,32.5949
1616.501,7536.678,43.0365
1616.408,7536.785,27.2398
1616.422,7536.986,42.2342
1616.436,7537.185,36.5858
1616.45,7537.383,27.2848
1616.343,7537.292,37.8138
1616.329,7537.09,37.2427
1616.315,7536.892,36.8337
1616.301,7536.693,29.7322
1616.194,7536.6,36.9886
1616.208,7536.8,28.6763
1616.223,7536.999,34.15
1616.237,7537.199,46.7738
1616.251,7537.398,23.7454
1616.144,7537.306,22.2128
1616.13,7537.105,41.9467
1616.116,7536.907,32.9541
1616.102,7536.707,26.0431
1615.995,7536.614,60.6234
1616.009,7536.814,19.4972
1616.023,7537.012,34.1576
1616.037,7537.213,39.0368
1615.93,7537.119,30.9928
1615.916,7536.92,29.2369
1615.909,7536.821,28.8527
1615.902,7536.721,38.0847
1615.809,7536.828,29.4774
1615.823,7537.027,20.9202
1615.83,7537.127,18.4823

